Name	City	Zip	Score	Non-Smoking	Date	Street
BADD NEWZ BBQ LLC (MOBILE UNIT)	HUNTSVILLE	35801	94		12/19/2014	1217 Grace St.
BIGFOOT'S LITTLE DONUTS (MOBILE UNIT)	HUNTSVILLE	35803	99		10/29/2014	11451 South Memorial Parkway
CHEF WILL THE PALATE - MOBILE UNIT & CATERING	HUNTSVILLE	35805	95	Yes	11/19/2014	2211 Seminole Drive
CILANTRO/GREEN MARKET LLC (MOBILE)	HUNTSVILLE	NULL	95		9/15/2014	2827-A Highway 72 East
COTTAGE CREPES (MOBILE)	HUNTSVILLE	35802	100		3/9/2015	11208 South Memorial Parkway
CP'S UP IN SMOKE (MOBILE UNIT)	HUNTSVILLE	35811	100	Yes	9/3/2014	611 Winchester Rd.
DALLAS MILL EXPRESS (MOBILE UNIT)	HUNTSVILLE	35801	100	Yes	3/13/2015	500 Pratt Avenue NW
DC CONNECTION (MOBILE UNIT)	HUNTSVILLE	35810	97	Yes	1/21/2015	3504 Stringfield Rd.
DELIGHTFUL DESSERTS MU	HUNTSVILLE	35801	98		12/11/2014	1222 Grace St.
DESTINY GOLD BARBECUE-MOBILE	MADISON	35758	92	Yes	12/12/2014	7150 Hwy 72W
FOLLOW ME (MOBILE UNIT)	UNTSVILLE	35802	98		11/18/2014	7914 S. Memorial  Parkway
HHS HOT DOG CART (MOBILE UNIT)	HUNTSVILLE	35801	99	Yes	11/17/2014	101 Sivley Road
I LOVE BACON FOOD TRUCK (MOBILE UNIT)	HUNTSVILLE	35801	98	Yes	11/18/2014	116 Washington St.
ICEWORKS SHAVED ICE (MOBILE UNIT)	HUNTSVILLE	35816	99		11/4/2014	3801 Oakwood Ave
ICEWORKS SHAVED ICE (MOBILE UNIT)	HUNTSVILLE	35816	99		11/4/2014	3801 Oakwood Ave.
M & W TROPICAL SNO MADISON, LLC (MOBILE UNIT)	HUNTSVILLE	35806	98		7/10/2014	300 Explorer Blvd
MAMA D'S NEW ORLEANS STYLE SHAVED ICE # 1 (MOBILE UNIT)	HAZEL GREEN	35750	95		9/12/2014	13903 Hwy 231/431
O TASTE & SEE BBQ (MOBILE UNIT)	HUNTSVILLE	35811	97		10/28/2014	5125 Moores Mill Rd.
PAW PAW'S DAWGS (MOBILE UNIT)	HUNTSVILLE	35801	99		7/25/2014	616 Steven's Ave
PIG TIME BBQ (MOBILE UNIT)	HUNTSVILLE	35803	100	Yes	1/22/2015	11243 South Memorial Parkway
PIPER AND LEAF (MOBILE UNIT)	HUNTSVILLE	35805	97		7/14/2014	2211 Seminole Ave Studio 151
ROCKET CITY EXPRESSO (MOBILE UNIT)	HUNTSVILLE	35811	99		12/1/2014	611 Winchester Road
ROLLIN LOBSTAH (MOBILE UNIT)	HUNTSVILLE	35806	97		11/25/2014	2827 A Hwy 72 E
SABOR LATINO (MOBILE UNIT)	HUNTSVILLE	35805	95	Yes	12/18/2014	3706 Governors Drive
SHIVER SHAVE ICE (MOBILE UNIT)	HUNTSVILLE	35811	99		6/10/2014	5125 Moores Mill Rd.
SNO SLOPES, LLC (MOBILE UNIT)	HUNTSVILLE	35801	98	Yes	10/23/2014	1217 Grace St.
SNOW TIME (MOBILE UNIT)	HUNTSVILLE	35805	100	Yes	10/21/2014	518 Jordan Lane, Suite B
SUGAR BELLE 2 (MOBILE UNIT)	HUNTSVILLE	35816	98	Yes	10/27/2014	600 Jordan Lane
SUMMER FUN (MOBILE UNIT)	MADISON	35758	97		1/13/2015	1815 Slaughter Road
TAQUERIA EL CAZADOR # 1 (MOBILE UNIT)	HUNTSVILLE	35803	92	Yes	12/3/2014	10099 S. Memorial Pkwy Suite 1
TAQUERIA EL CAZADOR # 2 (MOBILE UNIT)	HUNTSVILLE	35803	92	Yes	12/3/2014	10099 S. Memorial  Parkway, Su
TAQUERIA LOS TRES RIALES (MOBILE UNIT)	HUNTSVILLE	35805	92	Yes	3/6/2015	2723 Clinton Ave.
TASTE OF JERSEY (MOBILE UNIT)	HUNTSVILLE	35816	95		9/11/2014	2022 Jordan Lane
THE BACK ALLEY TRAVELING BISTRO (MOBILE)	HUNTSVILLE	35811	100		2/23/2015	210  Oakwood Avenue
TIM'S CAJUN KITCHEN, INC - MOBILE UNIT	HUNTSVILLE	35805	97		1/27/2015	114 Jordan Lane
WE BEEFIN' (MOBILE UNIT)	MADISON	35758	94		12/12/2014	1158 Wall Triana Highway
